row,zipcode,state,lat,long
4516,94539,CA,37.51,-121.89
4517,94539,CA,37.51,-121.89
4518,94539,CA,37.51,-121.89
4519,94541,CA,37.67,-122.08
4520,94541,CA,37.67,-122.08
4521,94544,CA,37.63,-122.04
4522,94544,CA,37.63,-122.04
4523,94546,CA,37.7,-122.08
4524,94547,CA,38.01,-122.25
4525,94552,CA,37.69,-122.01
4526,94558,CA,38.55,-122.15
4527,94565,CA,38,-121.83
4528,94565,CA,38,-121.83
4529,94568,CA,37.71,-121.91
4530,94568,CA,37.71,-121.91
4531,94577,CA,37.71,-122.16
4532,94578,CA,37.7,-122.12
4533,94579,CA,37.68,-122.15
4534,94582,CA,37.76,-121.93
4535,94583,CA,37.78,-121.99
4536,94583,CA,37.78,-121.99
4537,94587,CA,37.59,-122.06
4538,94587,CA,37.59,-122.06
4539,94591,CA,38.11,-122.2
4540,94591,CA,38.11,-122.2
4541,94591,CA,38.11,-122.2
4542,94595,CA,37.86,-122.07
4543,94597,CA,37.91,-122.07
4544,94597,CA,37.91,-122.07
4545,94602,CA,37.8,-122.21
4546,94606,CA,37.78,-122.24
4547,94611,CA,37.83,-122.22
4548,94803,CA,37.95,-122.26
4549,94901,CA,37.97,-122.5
4550,95005,CA,37.1,-122.08
4551,95006,CA,37.16,-122.15
4552,95015,CA,37.32,-122.05
4553,95023,CA,36.89,-121.24
4554,95023,CA,36.89,-121.24
4555,95035,CA,37.44,-121.87
4556,95051,CA,37.35,-121.98
4557,95051,CA,37.35,-121.98
4558,95062,CA,36.97,-121.98
4559,95062,CA,36.97,-121.98
4560,95062,CA,36.97,-121.98
4561,95070,CA,37.25,-122.06
4562,95070,CA,37.25,-122.06
4563,95070,CA,37.25,-122.06
4564,95070,CA,37.25,-122.06
4565,95111,CA,37.28,-121.83
4566,95111,CA,37.28,-121.83
4567,95111,CA,37.28,-121.83
4568,95112,CA,37.34,-121.88
4569,95116,CA,37.35,-121.85
4570,95116,CA,37.35,-121.85
4571,95118,CA,37.25,-121.88
4572,95122,CA,37.33,-121.83
4573,95124,CA,37.25,-121.92
4574,95125,CA,37.29,-121.88
4575,95126,CA,37.32,-121.91
4576,95127,CA,37.37,-121.75
4577,95127,CA,37.37,-121.75
4578,95127,CA,37.37,-121.75
4579,95127,CA,37.37,-121.75
4580,95127,CA,37.37,-121.75
4581,95130,CA,37.28,-121.98
4582,95131,CA,37.38,-121.9
4583,95132,CA,37.42,-121.77
4584,95132,CA,37.42,-121.77
4585,95132,CA,37.42,-121.77
4586,95132,CA,37.42,-121.77
4587,95132,CA,37.42,-121.77
4588,95132,CA,37.42,-121.77
4589,95132,CA,37.42,-121.77
4590,95133,CA,37.37,-121.86
4591,95134,CA,37.42,-121.94
4592,95148,CA,37.33,-121.77
4593,95148,CA,37.33,-121.77
4594,95203,CA,37.95,-121.32
4595,95204,CA,37.97,-121.32
4596,95204,CA,37.97,-121.32
4597,95210,CA,38.02,-121.3
4598,95212,CA,38.04,-121.2
4599,95219,CA,38.01,-121.38
4600,95247,CA,38.14,-120.45
4601,95307,CA,37.55,-120.96
4602,95336,CA,37.83,-121.18
4603,95336,CA,37.83,-121.18
4604,95350,CA,37.67,-121.01
4605,95350,CA,37.67,-121.01
4606,95355,CA,37.67,-120.95
4607,95355,CA,37.67,-120.95
4608,95355,CA,37.67,-120.95
4609,95355,CA,37.67,-120.95
4610,95357,CA,37.67,-120.89
4611,95358,CA,37.65,-121.13
4612,95363,CA,37.49,-121.25
4613,95366,CA,37.75,-121.12
4614,95367,CA,37.73,-120.95
4615,95370,CA,37.98,-120.39
4616,95370,CA,37.98,-120.39
4617,95376,CA,37.73,-121.42
4618,95376,CA,37.73,-121.42
4619,95391,CA,37.76,-121.63
4620,95404,CA,38.45,-122.68
4621,95407,CA,38.39,-122.75
4622,95407,CA,38.39,-122.75
